"id","label","category"
"P2270","Emporis building complex ID","identifier"
"P2468","Theatricalia theatre ID","identifier"
"P2558","autores.uy ID","identifier"
"P2606","PlayStation ID","identifier"
"P2613","TED talk ID","identifier"
"P2623","MEK ID","identifier"
"P2638","TV.com ID","identifier"
"P3184","Czech National Bibliography book ID","identifier"
"P3272","Zeri image ID","identifier"
"P3293","BALaT image ID","identifier"
"P3386","French Sculpture Census work ID","identifier"
"P3467","Inventario Sculture - Polo Museale Fiorentino","identifier"
"P3504","Florentine Inventario Palatina art ID","identifier"
"P3631","Babelio work ID","identifier"
"P3634","The Met object ID","identifier"
"P3711","Vanderkrogt.net Statues ID","identifier"
"P3768","Medieval Libraries of Great Britain ID","identifier"
"P3855","LombardiaBeniCulturali artwork ID","identifier"
"P2014","Museum of Modern Art work ID","identifier"
"P2034","Project Gutenberg ebook ID","identifier"
"P2092","Bildindex der Kunst und Architektur ID","identifier"
"P2108","Kunstindeks Danmark artwork ID","identifier"
"P2242","Florentine musea catalogue ID","identifier"
"P2282","Groeningemuseum work PID","identifier"
"P2344","AGORHA work ID","identifier"
"P1804","DNF film ID","identifier"
"P4783","Movieplayer film ID","identifier"
"P4786","cinematografo film ID","identifier"
"P4947","TMDb movie ID","identifier"
"P5032","Filmweb.pl film ID","identifier"
"P5083","Adult Film Database film ID","identifier"
"P5098","IAFD film ID","identifier"
"P1920","CWGC burial ground ID","identifier"
"P2025","Find A Grave cemetery ID","identifier"
"P2413","Fashion Model Directory magazine ID","identifier"
"P2768","BNE journal ID","identifier"
"P3121","Epguides ID","identifier"
"P3426","ArbetSam ID","identifier"
"P4022","danskefilm TV series ID","identifier"
"P4144","Atheneum artwork ID","identifier"
"P4702","Google Arts & Culture partner ID","identifier"
"P4704","Smithsonian American Art Museum ID","identifier"
"P4706","Ent'revues ID","identifier"
"P4709","Barnes Foundation ID","identifier"
"P4712","Minneapolis Institute of Art artwork ID","identifier"
"P4713","Walters Art Museum ID","identifier"
"P4721","MuBE Virtual ID","identifier"
